MAE,MSE,RMSE,MAPE,R2,Building,Sparsity,Method,Epochs
0.03445388376712799,0.002523242961615324,0.0502318918777237,6.145708,0.9164430499076843,Hog_health_Hisako_start0_2160,30,ours,8
0.011350344866514206,0.00012952300312463194,0.011380817331133644,0.011350345,0.0,Bobcat_warehouse_Charlie_start8000_2160,80,ours,8
0.05996181070804596,0.00603905925527215,0.07771138433506478,8.636009,0.555533230304718,Cockatoo_assembly_Valencia_start4000_2160,30,ours,8
0.06661956012248993,0.009143979288637638,0.09562415640745615,35.710896,0.8934637308120728,Hog_public_Kevin_start8000_2160,30,ours,8
0.0683024600148201,0.011291217058897018,0.1062601386169669,129.30049,0.8956999778747559,Cockatoo_industrial_Nathaniel_start8000_2160,80,ours,8
0.05320329591631889,0.00489962100982666,0.06999729287498667,9.401577,0.8642877340316772,Eagle_education_Edith_start0_2160,40,ours,8
0.05920873209834099,0.0071473680436611176,0.084542108109871,10.379953,0.800065279006958,Eagle_education_Edith_start4000_2160,50,ours,8
0.03076276183128357,0.001859969226643443,0.04312736053416025,6.073122,0.9337846636772156,Fox_lodging_Angla_start8000_2160,80,ours,8
0.056714415550231934,0.0062019131146371365,0.07875222609321679,53.40897,0.6108971834182739,Fox_lodging_Frances_start8000_2160,20,ours,8
0.05109632387757301,0.004900198895484209,0.07000142066761367,9.183319,0.62466961145401,Fox_lodging_Frances_start8000_2160,80,ours,8
0.05311516672372818,0.0049027553759515285,0.07001967849077521,9.446432,0.812927782535553,Fox_lodging_Angla_start8000_2160,20,ours,8
0.1009843721985817,0.02025655470788479,0.14232552374006846,221.50053,0.7547847032546997,Cockatoo_industrial_Nathaniel_start8000_2160,20,ours,8
0.05698269233107567,0.009680484421551228,0.09838945279627907,55.94941,0.9062350392341614,Hog_public_Kevin_start8000_2160,90,ours,8
0.06628833711147308,0.0067113712430000305,0.08192295919337894,10.430306,0.5128008127212524,Cockatoo_assembly_Valencia_start4000_2160,90,ours,8
0.00976539310067892,9.62241756496951e-05,0.009809392216120991,0.009765393,0.0,Bobcat_warehouse_Charlie_start8000_2160,20,ours,8
0.02754574827849865,0.001445226022042334,0.038016128446257305,4.261186,0.9546100497245789,Hog_health_Hisako_start0_2160,90,ours,8
0.00995807908475399,0.00011055828508688137,0.010514669994197695,0.009958079,0.0,Rat_public_Alexander_start4000_2160,40,ours,8
0.0372752845287323,0.0032769099343568087,0.05724430045303033,11.318051,0.9459536075592041,Hog_health_Hisako_start8000_2160,70,ours,8
0.03299275040626526,0.0031088185496628284,0.05575678030215544,4.8056135,0.8184570670127869,Panther_other_Lucina_start8000_2160,20,ours,8
0.056231290102005005,0.005558849312365055,0.07455769116841705,10.406277,0.8502189517021179,Eagle_education_Edith_start0_2160,70,ours,8
0.053738344460725784,0.005785034038126469,0.07605941123967808,6.9883695,0.24780511856079102,Rat_public_Alexander_start0_2160,50,ours,8
0.0468815416097641,0.0038807897362858057,0.06229598491304079,8.763109,0.8664155006408691,Fox_lodging_Angla_start0_2160,20,ours,8
0.04659055918455124,0.006548154167830944,0.08092066588845487,49.585697,0.8269031047821045,Cockatoo_industrial_Nathaniel_start0_2160,50,ours,8
0.010386758483946323,0.00011583603190956637,0.01076271489493085,0.0103867585,0.0,Rat_public_Alexander_start4000_2160,70,ours,8
0.042469341307878494,0.0032318185549229383,0.056849085787925725,7.3333197,0.8940977454185486,Fox_lodging_Angla_start0_2160,80,ours,8
0.03171500563621521,0.002321788342669606,0.04818493896094096,10.839666,0.9624679088592529,Hog_health_Hisako_start8000_2160,40,ours,8
0.02875833958387375,0.0014912033220753074,0.03861610184981528,4.097427,0.8608509302139282,Panther_other_Lucina_start8000_2160,80,ours,8
0.011226239614188671,0.00012987859372515231,0.011396428990045624,0.01122624,0.0,Rat_public_Alexander_start4000_2160,90,ours,8
0.036448754370212555,0.0026411975268274546,0.05139258241057219,6.366441,0.9056879878044128,Hog_health_Hisako_start0_2160,40,ours,8
0.05519251897931099,0.005682249553501606,0.07538069748617086,7.7466087,0.5986911058425903,Cockatoo_assembly_Valencia_start4000_2160,40,ours,8
0.06165844574570656,0.008356975391507149,0.0914164940889069,39.08522,0.9064630270004272,Hog_public_Kevin_start8000_2160,40,ours,8
0.058993879705667496,0.005990821402519941,0.07740039665608918,10.3633995,0.8352425694465637,Eagle_education_Edith_start0_2160,30,ours,8
0.05288255587220192,0.006198266986757517,0.07872907332591637,9.304364,0.8267805576324463,Eagle_education_Edith_start4000_2160,20,ours,8
0.055397748947143555,0.005816121120005846,0.07626349795285976,54.896988,0.6352903246879578,Fox_lodging_Frances_start8000_2160,50,ours,8
0.05724085867404938,0.0057123275473713875,0.07557994143535299,10.146568,0.7822251915931702,Fox_lodging_Angla_start8000_2160,50,ours,8
0.05751165747642517,0.007702332455664873,0.08776293326721067,10.690937,0.8347578048706055,Eagle_education_Edith_start4000_2160,80,ours,8
0.07129237800836563,0.007743693422526121,0.08799825806529422,12.659981,0.8008639812469482,Eagle_education_Edith_start0_2160,90,ours,8
0.08800176531076431,0.016359739005565643,0.1279051953814451,235.89418,0.8020617961883545,Cockatoo_industrial_Nathaniel_start8000_2160,50,ours,8
