Building,Sparsity,Method,KL_oridata,MMD_oridata,KL_testdata,MMD_testdata
Hog_health_Hisako_start0_2160,90,ours,0.13974383814003155,0.06294593823316026,1.4942013095944098,0.2659073377884924
Hog_health_Hisako_start8000_2160,70,ours,0.13245903076989077,0.074930337211062,0.2833433287132204,0.14421963058581103
Eagle_education_Edith_start0_2160,70,ours,0.12799315517165014,0.06265605950633167,2.0032198797911493,0.16364950232661873
Rat_public_Alexander_start0_2160,50,ours,0.1746672729699721,0.06224364062450374,0.5088047221091632,0.19605359762003924
Cockatoo_industrial_Nathaniel_start0_2160,50,ours,0.15555064015657094,0.05556020737428548,0.5083743263980257,0.170598051028483
Rat_public_Alexander_start4000_2160,70,ours,1.8318713066164105,0.0638480647437227,2.1673223817590506,0.13885253497112932
Rat_public_Alexander_start4000_2160,90,ours,2.3213090882729044,0.06653961591283729,3.697525700617289,0.17044189523084108
Eagle_education_Edith_start0_2160,30,ours,0.33917716048641144,0.09149291544083278,0.22345053024126857,0.16833196913875612
Fox_lodging_Frances_start8000_2160,50,ours,0.7959187435904326,0.05474785465655762,0.2102727368913626,0.10277147763715153
Fox_lodging_Angla_start8000_2160,50,ours,0.7929068337634092,0.07929591830046007,0.33136226659040263,0.1954476574367017
Eagle_education_Edith_start0_2160,90,ours,0.14056759216910675,0.05204128171483372,2.048493119770663,0.19964466355703397
Cockatoo_industrial_Nathaniel_start8000_2160,50,ours,0.127478715020182,0.03744665856051582,0.17866754951956199,0.10474634635597528
Bobcat_warehouse_Charlie_start8000_2160,50,ours,1.0078257606178047,0.09200068731999027,1.012533009889877,0.15020258732098546
Rat_public_Alexander_start4000_2160,30,ours,0.6919095064194678,0.06149614688419265,1.0172181722500047,0.15411900630196165
Fox_lodging_Angla_start0_2160,50,ours,0.6202999381868658,0.0425657303994881,0.9256982152993458,0.1883072901126905
Hog_health_Hisako_start0_2160,70,ours,0.14561775800208923,0.06629586711482374,1.1605985748934693,0.22810103260346895
Cockatoo_assembly_Valencia_start4000_2160,70,ours,0.17123494265105998,0.03669040094049964,0.26036980842403035,0.13520986936349694
Hog_public_Kevin_start8000_2160,70,ours,0.12135801147584793,0.0454505305746223,0.18626847445153008,0.10533677034462524
Panther_other_Lucina_start8000_2160,50,ours,0.8063144526254026,0.05423396741699774,0.44317755340060433,0.13993478457763975
Hog_health_Hisako_start8000_2160,90,ours,0.1412628535736835,0.07482679879108253,0.4893070282488887,0.20302757129458734
Hog_health_Hisako_start8000_2160,30,ours,0.2372566969209526,0.06488901814352162,0.2634020145217075,0.1449873556389495
Fox_lodging_Frances_start4000_2160,30,ours,0.16217045534548025,0.05069902517019633,0.19746762990914316,0.1307790450395133
Fox_lodging_Angla_start4000_2160,90,ours,0.152579333590654,0.04774994636129572,0.38229399797736,0.1981798619091139
Cockatoo_industrial_Nathaniel_start4000_2160,90,ours,0.14381837798920186,0.0330240946318022,0.5305052536877906,0.1286989713031407
Bobcat_warehouse_Charlie_start4000_2160,90,ours,1.489467813719471,0.046463799300978825,4.140237084533536,0.22195244802502348
Hog_public_Kevin_start0_2160,50,ours,0.1763974644677345,0.04375322634358959,0.47202345069924123,0.13935631404008045
Rat_public_Alexander_start8000_2160,50,ours,0.5352456086005908,0.06484547432484043,0.8061461685520745,0.1642018663428808
