MAE,MSE,RMSE,MAPE,R2,Building,Sparsity,Method,Epochs,Building_Type
0.045229938,0.004207374,0.06486428,10.88825911283493,0.8741915211920009,Hog_health_Hisako_start4000_2160,20,diffts-fft,5,Health
0.047743402,0.0049406975,0.070290096,9.980972111225128,0.8505981777055855,Hog_health_Hisako_start4000_2160,30,diffts-fft,5,Health
0.03612781,0.0022450606,0.04738207,6.5738677978515625,0.9236992287491425,Hog_health_Hisako_start4000_2160,40,diffts-fft,5,Health
0.039939426,0.0034921204,0.059094165,10.58996394276619,0.8955875627886638,Hog_health_Hisako_start4000_2160,50,diffts-fft,5,Health
0.029909646,0.0017319105,0.041616227,5.011023581027985,0.9350120539188096,Hog_health_Hisako_start4000_2160,70,diffts-fft,5,Health
0.033298325,0.0023383016,0.04835599,5.660845339298248,0.9182584982568835,Hog_health_Hisako_start4000_2160,80,diffts-fft,5,Health
0.03348749,0.0025177437,0.050177123,5.549757555127144,0.9016280819878008,Hog_health_Hisako_start4000_2160,90,diffts-fft,5,Health
0.046478957,0.0045325137,0.067323945,15.001022815704346,0.9227874896693264,Hog_health_Hisako_start8000_2160,20,diffts-fft,5,Health
0.04976198,0.005111002,0.07149127,15.408173203468325,0.9154898872890244,Hog_health_Hisako_start8000_2160,30,diffts-fft,5,Health
0.03820167,0.003257497,0.057074487,13.176323473453522,0.9473420488752644,Hog_health_Hisako_start8000_2160,40,diffts-fft,5,Health
0.038709275,0.0032511067,0.057018477,11.887842416763306,0.9446668345693952,Hog_health_Hisako_start8000_2160,50,diffts-fft,5,Health
0.038044572,0.0030690525,0.05539903,11.650479584932327,0.9493818311034078,Hog_health_Hisako_start8000_2160,70,diffts-fft,5,Health
0.03973358,0.0032505107,0.05701325,11.620784550905228,0.9503870424963362,Hog_health_Hisako_start8000_2160,80,diffts-fft,5,Health
0.041558336,0.0031056085,0.05572799,17.112290859222412,0.9372453693401818,Hog_health_Hisako_start8000_2160,90,diffts-fft,5,Health
0.05628255,0.007911713,0.08894781,17.10657775402069,0.8852345519893358,Hog_public_Kevin_start0_2160,20,diffts-fft,5,Public
0.06974865,0.009827781,0.09913516,24.736644327640533,0.8533771475219705,Hog_public_Kevin_start0_2160,30,diffts-fft,5,Public
0.05718663,0.007693562,0.08771295,18.817853927612305,0.8822052911044378,Hog_public_Kevin_start0_2160,40,diffts-fft,5,Public
0.057723112,0.008138613,0.09021426,19.74358558654785,0.8818665882240477,Hog_public_Kevin_start0_2160,50,diffts-fft,5,Public
0.06737028,0.009746149,0.098722585,25.285592675209045,0.860796659011505,Hog_public_Kevin_start0_2160,70,diffts-fft,5,Public
0.047969744,0.006364255,0.07977628,15.343287587165833,0.902115191166943,Hog_public_Kevin_start0_2160,80,diffts-fft,5,Public
0.06069511,0.010275817,0.1013697,21.97370082139969,0.839729072469554,Hog_public_Kevin_start0_2160,90,diffts-fft,5,Public
0.06999011,0.011537956,0.10741488,55.96563220024109,0.8737392380398117,Hog_public_Kevin_start8000_2160,20,diffts-fft,5,Public
0.07456268,0.0115890745,0.10765257,43.68913173675537,0.8649759552408463,Hog_public_Kevin_start8000_2160,30,diffts-fft,5,Public
0.073351115,0.011339436,0.10648679,53.52874398231506,0.8730812936219046,Hog_public_Kevin_start8000_2160,40,diffts-fft,5,Public
0.07429564,0.012365337,0.111199535,57.15212821960449,0.8647944630941322,Hog_public_Kevin_start8000_2160,50,diffts-fft,5,Public
0.079212785,0.01129716,0.1062881,51.66691541671753,0.8823226269557648,Hog_public_Kevin_start8000_2160,70,diffts-fft,5,Public
0.060434625,0.008632465,0.092911065,31.716331839561462,0.8908110213087046,Hog_public_Kevin_start8000_2160,80,diffts-fft,5,Public
0.063315526,0.00936444,0.09677004,74.51574206352234,0.9092962301654878,Hog_public_Kevin_start8000_2160,90,diffts-fft,5,Public
0.01286129,0.00016566864,0.012871233,0.0128612900152802,0.0,Panther_other_Lucina_start0_2160,20,diffts-fft,5,Other
0.012955016,0.00016884155,0.012993905,0.0129550164565444,0.0,Panther_other_Lucina_start0_2160,30,diffts-fft,5,Other
0.011743205,0.00013888969,0.011785147,0.0117432046681642,0.0,Panther_other_Lucina_start0_2160,40,diffts-fft,5,Other
0.012489631,0.0001565581,0.012512318,0.0124896308407187,0.0,Panther_other_Lucina_start0_2160,50,diffts-fft,5,Other
0.011311245,0.00012815656,0.011320625,0.0113112451508641,0.0,Panther_other_Lucina_start0_2160,70,diffts-fft,5,Other
0.011080234,0.00012336811,0.01110712,0.011080234311521,0.0,Panther_other_Lucina_start0_2160,80,diffts-fft,5,Other
0.010901266,0.00011913253,0.010914785,0.0109012657776474,0.0,Panther_other_Lucina_start0_2160,90,diffts-fft,5,Other
0.0447894,0.0036212583,0.06017689,13.05452436208725,0.9139055584874316,Panther_other_Lucina_start4000_2160,20,diffts-fft,5,Other
0.0476756,0.0041118483,0.0641237,18.48714649677277,0.9019356355981892,Panther_other_Lucina_start4000_2160,30,diffts-fft,5,Other
0.04810584,0.0041388934,0.06433423,17.206627130508423,0.9174090708348196,Panther_other_Lucina_start4000_2160,40,diffts-fft,5,Other
0.048346743,0.004020465,0.06340714,13.727116584777832,0.9044102133876656,Panther_other_Lucina_start4000_2160,50,diffts-fft,5,Other
0.052676413,0.004921628,0.07015432,16.683019697666168,0.9115697624297004,Panther_other_Lucina_start4000_2160,70,diffts-fft,5,Other
0.042955447,0.0033323164,0.05772622,16.183479130268097,0.9179683416988734,Panther_other_Lucina_start4000_2160,80,diffts-fft,5,Other
0.041617997,0.0032508841,0.057016525,9.99261885881424,0.936824898443479,Panther_other_Lucina_start4000_2160,90,diffts-fft,5,Other
0.009849787,0.00016896527,0.012998664,0.0098497867584228,0.0,Rat_public_Alexander_start4000_2160,20,diffts-fft,5,Public
0.0065323855,4.576885e-05,0.006765268,0.0065323854796588,0.0,Rat_public_Alexander_start4000_2160,30,diffts-fft,5,Public
0.007059226,9.700867e-05,0.009849298,0.0070592258125543,0.0,Rat_public_Alexander_start4000_2160,40,diffts-fft,5,Public
0.01107901,0.00014963081,0.012232367,0.0110790096223354,0.0,Rat_public_Alexander_start4000_2160,50,diffts-fft,5,Public
0.009413006,0.00010617356,0.010304055,0.0094130057841539,0.0,Rat_public_Alexander_start4000_2160,70,diffts-fft,5,Public
0.009000634,9.267022e-05,0.009626538,0.0090006338432431,0.0,Rat_public_Alexander_start4000_2160,80,diffts-fft,5,Public
0.011541333,0.00015451502,0.012430407,0.0115413330495357,0.0,Rat_public_Alexander_start4000_2160,90,diffts-fft,5,Public
0.01048836,0.00011084227,0.010528166,0.0104883601889014,0.0,Rat_public_Alexander_start8000_2160,20,diffts-fft,5,Public
0.011713909,0.0001379108,0.011743543,0.0117139089852571,0.0,Rat_public_Alexander_start8000_2160,30,diffts-fft,5,Public
0.010142363,0.0001033859,0.010167886,0.0101423626765608,0.0,Rat_public_Alexander_start8000_2160,40,diffts-fft,5,Public
0.010932117,0.000120599034,0.010981759,0.0109321167692542,0.0,Rat_public_Alexander_start8000_2160,50,diffts-fft,5,Public
0.011425985,0.00013111305,0.01145046,0.0114259850233793,0.0,Rat_public_Alexander_start8000_2160,70,diffts-fft,5,Public
0.012607156,0.00015945247,0.012627449,0.0126071562990546,0.0,Rat_public_Alexander_start8000_2160,80,diffts-fft,5,Public
0.009861591,9.743401e-05,0.009870866,0.0098615912720561,0.0,Rat_public_Alexander_start8000_2160,90,diffts-fft,5,Public
