Building,Sparsity,Method,KL_oridata,MMD_oridata,KL_testdata,MMD_testdata
Cockatoo_assembly_Valencia_start8000_4320,70,timegan,0.2876148374257899,0.2436408417510642,0.8562732770333638,0.2500540034075613
Cockatoo_assembly_Valencia_start8000_4320,70,cgan,0.22200782664368787,0.28411384878327334,0.45699795597496773,0.32656439055154257
Cockatoo_assembly_Valencia_start8000_4320,70,wgan,0.34714052648285565,0.4366022854971375,0.5865426395705551,0.44452024966889014
Cockatoo_assembly_Valencia_start8000_4320,90,diffts-fft,0.10984896772703691,0.04393996610583303,1.3519448479967604,0.26828166238570406
Cockatoo_assembly_Valencia_start8000_4320,90,diffts,0.11080630537387526,0.0813132090538471,1.4189578291092921,0.2756336435966578
Cockatoo_assembly_Valencia_start8000_4320,90,timegan,0.17072135811243544,0.1617817823619643,1.7449159024977459,0.3216599535420527
Cockatoo_assembly_Valencia_start8000_4320,90,cgan,0.3407095949070073,0.31051135324914053,2.32293200803157,0.4122129617261639
Cockatoo_assembly_Valencia_start8000_4320,90,wgan,0.34525245150326983,0.2600439641368583,3.169314536730361,0.34440353725293776
Cockatoo_industrial_Nathaniel_start0_4320,30,diffts-fft,0.3034936565697053,0.08284090573507844,0.41174282145131447,0.14316648516124353
Cockatoo_industrial_Nathaniel_start0_4320,30,diffts,0.2918778580193392,0.10119939563878623,0.4056993200686396,0.1589546602293092
Cockatoo_industrial_Nathaniel_start0_4320,30,timegan,0.2956083792685523,0.18389132544073866,0.27935947030533625,0.2056914330497484
Cockatoo_industrial_Nathaniel_start0_4320,30,cgan,0.4251701080536317,0.37048580746477655,0.33346952553810527,0.3624108618416448
Cockatoo_industrial_Nathaniel_start0_4320,30,wgan,0.36841876614676916,0.19648930058761757,0.23276658143242773,0.19322899487056514
Cockatoo_industrial_Nathaniel_start0_4320,50,diffts-fft,0.4895260759330073,0.08028889339847259,0.4832730649738741,0.19525318945423958
Cockatoo_industrial_Nathaniel_start0_4320,50,diffts,0.48356895248897835,0.11235253907607659,0.4812224951625397,0.22518614494220784
Cockatoo_industrial_Nathaniel_start0_4320,50,timegan,0.3063523574289423,0.10947089695346086,0.2422328886462446,0.09397627969004894
Cockatoo_industrial_Nathaniel_start0_4320,50,cgan,0.5075318518264369,0.3014398955497589,0.343385778190492,0.3116951316351093
Cockatoo_industrial_Nathaniel_start0_4320,50,wgan,0.3883837769445476,0.25105897569693386,0.2784176630614593,0.23950739795717108
Cockatoo_industrial_Nathaniel_start0_4320,70,diffts-fft,0.32083295064509104,0.07064683202181336,0.4503485850062902,0.18800719456235038
Cockatoo_industrial_Nathaniel_start0_4320,70,diffts,0.3875008677466519,0.10000885235019967,0.4795187236936047,0.2115094426366673
Cockatoo_industrial_Nathaniel_start0_4320,70,timegan,0.3258372001281166,0.1919475786688901,0.3174619218809523,0.2225727226634912
Cockatoo_industrial_Nathaniel_start0_4320,70,cgan,0.38954149064081717,0.20527446591729706,0.4087339395864102,0.22989163195793252
Cockatoo_industrial_Nathaniel_start0_4320,70,wgan,0.36159444712651545,0.14828227928424711,0.3603875994095983,0.15373038238404174
Cockatoo_industrial_Nathaniel_start0_4320,90,diffts-fft,0.28138634581132305,0.06190853602092325,0.6010134069904604,0.1872222102229165
Cockatoo_industrial_Nathaniel_start0_4320,90,diffts,0.2967750112962142,0.10677739594919038,0.6167498558211345,0.21504996746312216
Cockatoo_industrial_Nathaniel_start0_4320,90,timegan,0.33564956008719676,0.14175041164037416,0.6088118957080548,0.21604664762175427
Cockatoo_industrial_Nathaniel_start0_4320,90,cgan,0.27142700626684724,0.1691907967125771,0.5896731194577038,0.22045710051963285
Cockatoo_industrial_Nathaniel_start0_4320,90,wgan,0.2571008782656098,0.22481934546606647,0.5589947720447607,0.28152648399280006
Cockatoo_industrial_Nathaniel_start8000_4320,30,diffts-fft,0.1431920786220626,0.03447978238746724,0.2405831889587122,0.11266133579675783
